,seriesID,year,period,month,value,footnotes,netchg_1mo,netchg_3mo,netchg_6mo,netchg_12mo,pctchg_1mo,pctchg_3mo,pctchg_6mo,pctchg_12mo
82,JTS000000000000000HIR,2024,M04,April,3.5,,0.0,0.0,-0.1,-0.3,0.0,0.0,-2.8,-7.9
83,JTS000000000000000HIR,2024,M03,March,3.5,,-0.1,-0.1,-0.2,-0.3,-2.8,-2.8,-5.4,-7.9
84,JTS000000000000000HIR,2024,M02,February,3.6,,0.1,0.1,-0.1,-0.3,2.9,2.9,-2.7,-7.7
85,JTS000000000000000HIR,2024,M01,January,3.5,,-0.1,-0.1,-0.1,-0.6,-2.8,-2.8,-2.8,-14.6
86,JTS000000000000000QUR,2025,M10,October,1.8,preliminary,-0.2,-0.2,-0.2,-0.2,-10.0,-10.0,-10.0,-10.0
87,JTS000000000000000QUR,2025,M09,September,2.0,,0.1,0.0,-0.1,0.1,5.3,0.0,-4.8,5.3
88,JTS000000000000000QUR,2025,M08,August,1.9,preliminary,-0.1,-0.1,-0.1,-0.1,-5.0,-5.0,-5.0,-5.0
89,JTS000000000000000QUR,2025,M07,July,2.0,,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-4.8
90,JTS000000000000000QUR,2025,M06,June,2.0,,0.0,-0.1,0.1,-0.1,0.0,-4.8,5.3,-4.8
91,JTS000000000000000QUR,2025,M05,May,2.0,,0.0,0.0,0.1,-0.1,0.0,0.0,5.3,-4.8
92,JTS000000000000000QUR,2025,M04,April,2.0,,-0.1,0.0,0.0,-0.2,-4.8,0.0,0.0,-9.1
93,JTS000000000000000QUR,2025,M03,March,2.1,,0.1,0.2,0.2,0.0,5.0,10.5,10.5,0.0
94,JTS000000000000000QUR,2025,M02,February,2.0,,0.0,0.1,0.0,-0.2,0.0,5.3,0.0,-9.1
95,JTS000000000000000QUR,2025,M01,January,2.0,,0.1,0.0,-0.1,-0.1,5.3,0.0,-4.8,-4.8
96,JTS000000000000000QUR,2024,M12,December,1.9,,0.0,0.0,-0.2,-0.2,0.0,0.0,-9.5,-9.5
97,JTS000000000000000QUR,2024,M11,November,1.9,,-0.1,-0.1,-0.2,-0.4,-5.0,-5.0,-9.5,-17.4
98,JTS000000000000000QUR,2024,M10,October,2.0,,0.1,-0.1,-0.2,-0.3,5.3,-4.8,-9.1,-13.0
99,JTS000000000000000QUR,2024,M09,September,1.9,,-0.1,-0.2,-0.2,-0.4,-5.0,-9.5,-9.5,-17.4
100,JTS000000000000000QUR,2024,M08,August,2.0,,-0.1,-0.1,-0.2,-0.3,-4.8,-4.8,-9.1,-13.0
101,JTS000000000000000QUR,2024,M07,July,2.1,,0.0,-0.1,0.0,-0.2,0.0,-4.5,0.0,-8.7
102,JTS000000000000000QUR,2024,M06,June,2.1,,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,-12.5
103,JTS000000000000000QUR,2024,M05,May,2.1,,-0.1,-0.1,-0.2,-0.5,-4.5,-4.5,-8.7,-19.2
104,JTS000000000000000QUR,2024,M04,April,2.2,,0.1,0.1,-0.1,-0.1,4.8,4.8,-4.3,-4.3
105,JTS000000000000000QUR,2024,M03,March,2.1,,-0.1,0.0,-0.2,-0.4,-4.5,0.0,-8.7,-16.0
106,JTS000000000000000QUR,2024,M02,February,2.2,,0.1,-0.1,-0.1,-0.3,4.8,-4.3,-4.3,-12.0
107,JTS000000000000000QUR,2024,M01,January,2.1,,0.0,-0.2,-0.2,-0.4,0.0,-8.7,-8.7,-16.0
108,JTS000000000000000LDR,2025,M10,October,1.2,preliminary,0.1,0.1,0.1,0.1,9.1,9.1,9.1,9.1
